route,classification,initialStatus,initialLocation,status,finalUrl,contentType,cacheControl,canonical
"/","public","200","","200","http://127.0.0.1:3422/","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app"
"/blogs","public","200","","200","http://127.0.0.1:3422/blogs","text/html; charset=utf-8","s-maxage=31536000","https://oria-spa.vercel.app/blogs"
"/history","public","200","","200","http://127.0.0.1:3422/history","text/html; charset=utf-8","s-maxage=31536000","https://oria-spa.vercel.app/history"
"/space","public","200","","200","http://127.0.0.1:3422/space","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/space"
"/pure-relaxation","public","200","","200","http://127.0.0.1:3422/pure-relaxation","text/html; charset=utf-8","s-maxage=31536000","https://oria-spa.vercel.app/pure-relaxation"
"/design-your-journey","public","200","","200","http://127.0.0.1:3422/design-your-journey","text/html; charset=utf-8","s-maxage=31536000","https://oria-spa.vercel.app/design-your-journey"
"/showcase","public","200","","200","http://127.0.0.1:3422/showcase","text/html; charset=utf-8","s-maxage=31536000","https://oria-spa.vercel.app/showcase"
"/oriahome","public","200","","200","http://127.0.0.1:3422/oriahome","text/html; charset=utf-8","s-maxage=31536000","https://oria-spa.vercel.app/oriahome"
"/oriafarm-retreat","public","200","","200","http://127.0.0.1:3422/oriafarm-retreat","text/html; charset=utf-8","s-maxage=31536000","https://oria-spa.vercel.app/oriafarm-retreat"
"/oriafarm-store","public","200","","200","http://127.0.0.1:3422/oriafarm-store","text/html; charset=utf-8","s-maxage=31536000","https://oria-spa.vercel.app/oriafarm-store"
"/therapy","public","200","","200","http://127.0.0.1:3422/therapy","text/html; charset=utf-8","s-maxage=31536000","https://oria-spa.vercel.app/therapy"
"/privileges","public","200","","200","http://127.0.0.1:3422/privileges","text/html; charset=utf-8","s-maxage=31536000","https://oria-spa.vercel.app/privileges"
"/booking","public","200","","200","http://127.0.0.1:3422/booking","text/html; charset=utf-8","s-maxage=31536000","https://oria-spa.vercel.app/booking"
"/local-tour","public","307","/local-tour/saigon-xua","200","http://127.0.0.1:3422/local-tour/saigon-xua","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/local-tour/saigon-xua"
"/lost-and-found","public","200","","200","http://127.0.0.1:3422/lost-and-found","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/lost-and-found"
"/spa-celestial-menu","public","307","/pure-relaxation","200","http://127.0.0.1:3422/pure-relaxation","text/html; charset=utf-8","s-maxage=31536000","https://oria-spa.vercel.app/pure-relaxation"
"/en/new-user/select-menu","public","307","/en/pure-relaxation","200","http://127.0.0.1:3422/en/pure-relaxation","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/en/pure-relaxation"
"/en/new-user/standard/checkout","public","200","","200","http://127.0.0.1:3422/en/new-user/standard/checkout","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app"
"/admin/login","admin","200","","200","http://127.0.0.1:3422/admin/login","text/html; charset=utf-8","s-maxage=31536000","https://oria-spa.vercel.app"
"/public/flipmenu/index.html","demo","404","","404","http://127.0.0.1:3422/public/flipmenu/index.html","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app"
"/api/services","api","200","","200","http://127.0.0.1:3422/api/services","application/json","",""
"/robots.txt","public","200","","200","http://127.0.0.1:3422/robots.txt","text/plain","public, max-age=0, must-revalidate",""
"/nonexistent","public","404","","404","http://127.0.0.1:3422/nonexistent","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app"
"/vi","public","200","","200","http://127.0.0.1:3422/vi","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/vi"
"/en","public","200","","200","http://127.0.0.1:3422/en","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/en"
"/cn","public","200","","200","http://127.0.0.1:3422/cn","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/cn"
"/jp","public","200","","200","http://127.0.0.1:3422/jp","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/jp"
"/kr","public","200","","200","http://127.0.0.1:3422/kr","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/kr"
"/vi/oriahome","public","200","","200","http://127.0.0.1:3422/vi/oriahome","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/vi/oriahome"
"/vi/oriafarm-retreat","public","200","","200","http://127.0.0.1:3422/vi/oriafarm-retreat","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/vi/oriafarm-retreat"
"/vi/pure-relaxation","public","200","","200","http://127.0.0.1:3422/vi/pure-relaxation","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/vi/pure-relaxation"
"/vi/new-user/standard/checkout","public","200","","200","http://127.0.0.1:3422/vi/new-user/standard/checkout","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app"
"/en/oriahome","public","200","","200","http://127.0.0.1:3422/en/oriahome","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/en/oriahome"
"/en/oriafarm-retreat","public","200","","200","http://127.0.0.1:3422/en/oriafarm-retreat","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/en/oriafarm-retreat"
"/en/pure-relaxation","public","200","","200","http://127.0.0.1:3422/en/pure-relaxation","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/en/pure-relaxation"
"/cn/oriahome","public","200","","200","http://127.0.0.1:3422/cn/oriahome","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/cn/oriahome"
"/cn/oriafarm-retreat","public","200","","200","http://127.0.0.1:3422/cn/oriafarm-retreat","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/cn/oriafarm-retreat"
"/cn/pure-relaxation","public","200","","200","http://127.0.0.1:3422/cn/pure-relaxation","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/cn/pure-relaxation"
"/cn/new-user/standard/checkout","public","200","","200","http://127.0.0.1:3422/cn/new-user/standard/checkout","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app"
"/jp/oriahome","public","200","","200","http://127.0.0.1:3422/jp/oriahome","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/jp/oriahome"
