route,classification,initialStatus,initialLocation,status,finalUrl,contentType,cacheControl,canonical
"/","public","200","","200","http://127.0.0.1:3377/","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app"
"/blogs","public","200","","200","http://127.0.0.1:3377/blogs","text/html; charset=utf-8","s-maxage=31536000","https://oria-spa.vercel.app/blogs"
"/history","public","200","","200","http://127.0.0.1:3377/history","text/html; charset=utf-8","s-maxage=31536000","https://oria-spa.vercel.app/history"
"/space","public","200","","200","http://127.0.0.1:3377/space","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/space"
"/pure-relaxation","public","200","","200","http://127.0.0.1:3377/pure-relaxation","text/html; charset=utf-8","s-maxage=31536000","https://oria-spa.vercel.app/pure-relaxation"
"/design-your-journey","public","200","","200","http://127.0.0.1:3377/design-your-journey","text/html; charset=utf-8","s-maxage=31536000","https://oria-spa.vercel.app/design-your-journey"
"/showcase","public","200","","200","http://127.0.0.1:3377/showcase","text/html; charset=utf-8","s-maxage=31536000","https://oria-spa.vercel.app/showcase"
"/oriahome","public","200","","200","http://127.0.0.1:3377/oriahome","text/html; charset=utf-8","s-maxage=31536000","https://oria-spa.vercel.app/oriahome"
"/oriafarm-retreat","public","200","","200","http://127.0.0.1:3377/oriafarm-retreat","text/html; charset=utf-8","s-maxage=31536000","https://oria-spa.vercel.app/oriafarm-retreat"
"/oriafarm-store","public","200","","200","http://127.0.0.1:3377/oriafarm-store","text/html; charset=utf-8","s-maxage=31536000","https://oria-spa.vercel.app/oriafarm-store"
"/therapy","public","200","","200","http://127.0.0.1:3377/therapy","text/html; charset=utf-8","s-maxage=31536000","https://oria-spa.vercel.app/therapy"
"/privileges","public","200","","200","http://127.0.0.1:3377/privileges","text/html; charset=utf-8","s-maxage=31536000","https://oria-spa.vercel.app/privileges"
"/booking","public","200","","200","http://127.0.0.1:3377/booking","text/html; charset=utf-8","s-maxage=31536000","https://oria-spa.vercel.app/booking"
"/local-tour","public","307","/local-tour/saigon-xua","200","http://127.0.0.1:3377/local-tour/saigon-xua","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/local-tour/saigon-xua"
"/lost-and-found","public","200","","200","http://127.0.0.1:3377/lost-and-found","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/lost-and-found"
"/spa-celestial-menu","public","307","/pure-relaxation","200","http://127.0.0.1:3377/pure-relaxation","text/html; charset=utf-8","s-maxage=31536000","https://oria-spa.vercel.app/pure-relaxation"
"/en/new-user/select-menu","public","307","/en/pure-relaxation","200","http://127.0.0.1:3377/en/pure-relaxation","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/en/pure-relaxation"
"/en/new-user/standard/checkout","public","200","","200","http://127.0.0.1:3377/en/new-user/standard/checkout","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app"
"/admin/login","admin","200","","200","http://127.0.0.1:3377/admin/login","text/html; charset=utf-8","s-maxage=31536000","https://oria-spa.vercel.app"
"/public/flipmenu/index.html","demo","404","","404","http://127.0.0.1:3377/public/flipmenu/index.html","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app"
"/api/services","api","200","","200","http://127.0.0.1:3377/api/services","application/json","",""
"/robots.txt","public","200","","200","http://127.0.0.1:3377/robots.txt","text/plain","public, max-age=0, must-revalidate",""
"/nonexistent","public","404","","404","http://127.0.0.1:3377/nonexistent","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app"
"/vi","public","200","","200","http://127.0.0.1:3377/vi","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/vi"
"/en","public","200","","200","http://127.0.0.1:3377/en","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/en"
"/cn","public","200","","200","http://127.0.0.1:3377/cn","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/cn"
"/jp","public","200","","200","http://127.0.0.1:3377/jp","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/jp"
"/kr","public","200","","200","http://127.0.0.1:3377/kr","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/kr"
"/vi/oriahome","public","200","","200","http://127.0.0.1:3377/vi/oriahome","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/vi/oriahome"
"/vi/oriafarm-retreat","public","200","","200","http://127.0.0.1:3377/vi/oriafarm-retreat","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/vi/oriafarm-retreat"
"/vi/pure-relaxation","public","200","","200","http://127.0.0.1:3377/vi/pure-relaxation","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/vi/pure-relaxation"
"/vi/new-user/standard/checkout","public","200","","200","http://127.0.0.1:3377/vi/new-user/standard/checkout","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app"
"/en/oriahome","public","200","","200","http://127.0.0.1:3377/en/oriahome","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/en/oriahome"
"/en/oriafarm-retreat","public","200","","200","http://127.0.0.1:3377/en/oriafarm-retreat","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/en/oriafarm-retreat"
"/en/pure-relaxation","public","200","","200","http://127.0.0.1:3377/en/pure-relaxation","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/en/pure-relaxation"
"/cn/oriahome","public","200","","200","http://127.0.0.1:3377/cn/oriahome","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/cn/oriahome"
"/cn/oriafarm-retreat","public","200","","200","http://127.0.0.1:3377/cn/oriafarm-retreat","text/html; charset=utf-8","private, no-cache, no-store, max-age=0, must-revalidate","https://oria-spa.vercel.app/cn/oriafarm-retreat"
